author.name,no.of.papers,Gender,indegree,strength.mean,clusteringcoefficient.global,triangles,demoninator,first.year,last.year,n.years,first.lastauthor,second.lastauthor,third.lastauthor,gap,Time.to.PI,mean.nAU,firstauthor.papers,lastauthor.papers,allmultipleauthor.papers,singleauthor.papers
663,100,M,193,2.238341969,0.327449568,13635,41640,1984,2018,35,1989,1992,1995,6,11,5.32,9,56,97,3
324,16,M,8,1.75,0.384615385,15,39,1983,2002,20,1989,1989,1990,1,7,1.875,4,6,11,5
413,5,F,4,1.25,0.375,3,8,1993,2000,8,1993,2000,NA,NA,NA,2,2,2,4,1
297,173,M,443,1.993227991,0.222755389,35652,160050,1988,2018,31,1988,1992,1995,7,7,6.104046243,42,42,167,6
314,35,F,49,1.632653061,0.240671642,387,1608,1984,2018,35,1999,2002,2007,8,23,3.285714286,11,16,33,2
43,34,F,20,1.5,0.437086093,132,302,1990,2012,23,1991,1998,2000,9,10,1.882352941,6,13,20,14
178,37,M,51,1.62745098,0.737739374,3159,4282,1983,2015,33,1985,1989,1989,4,6,3.243243243,7,14,32,5
840,183,M,235,2.829787234,0.302146429,14865,49198,1987,2018,32,1992,1994,1995,3,8,4.633879781,19,84,177,6
156,146,M,404,1.79950495,0.279793788,37557,134231,1980,2018,39,1992,1994,1996,4,16,5.979452055,32,19,134,12
278,55,M,133,2.082706767,0.352343713,7389,20971,1999,2018,20,2000,2000,2000,0,1,6.036363636,13,22,55,0
810,10,F,10,2.5,0.578571429,81,140,1994,2016,23,1995,2009,2010,15,16,3.5,2,3,10,0
247,87,M,69,2.898550725,0.164698372,516,3133,1981,2015,35,1982,1983,1983,1,2,3.287356322,6,43,86,1
798,69,M,66,2.151515152,0.325241379,1179,3625,1986,2017,32,1990,1994,1995,5,9,3.057971014,9,29,48,21
447,59,M,100,1.9,0.198094931,1227,6194,1992,2018,27,1993,1996,2000,7,8,4.220338983,4,21,57,2
558,45,M,42,1.571428571,0.209569378,219,1045,1992,2018,27,1997,2003,2005,8,13,2.466666667,18,10,34,11
820,21,F,46,1.369565217,0.85051818,4842,5693,1993,2015,23,2004,2004,2007,3,14,4,4,8,17,4
496,33,M,28,1.642857143,0.235412475,117,497,1981,2007,27,1981,1983,1989,8,8,2.393939394,8,4,23,10
822,11,M,16,2.125,0.604240283,171,283,1993,2006,14,1998,2006,NA,NA,NA,4.090909091,6,2,11,0
466,13,M,20,1.95,0.624251497,417,668,2002,2012,11,NA,NA,NA,NA,NA,4,2,0,11,2
748,23,F,25,2.04,0.657754011,492,748,1995,2013,19,1995,1995,2001,6,6,3.217391304,5,5,18,5
693,5,M,11,1.181818182,0.587412587,84,143,1994,1997,4,1996,NA,NA,NA,NA,3.6,2,1,5,0
144,40,F,35,2.542857143,0.287841191,348,1209,1987,2018,32,1987,1989,1990,3,3,3.225,12,10,39,1
207,9,F,7,1.285714286,0.70212766,33,47,1991,2000,10,1994,1998,NA,NA,NA,2,3,2,5,4
573,90,M,44,3.318181818,0.290462428,402,1384,1987,2018,32,1996,1996,1999,3,12,2.622222222,27,38,72,18
831,4,M,3,2,0.75,6,8,1984,1999,16,1984,1997,1999,15,15,2.5,0,3,4,0
295,5,M,4,4.25,1,30,30,1996,1998,3,NA,NA,NA,NA,NA,4.4,1,0,5,0
903,29,M,68,1.514705882,0.50057857,2163,4321,1992,2018,27,1992,2001,2006,14,14,4.551724138,8,9,28,1
488,123,F,158,2.386075949,0.151665081,2391,15765,1985,2018,34,1985,1998,1998,13,13,4.105691057,8,52,119,4
315,15,F,10,4.7,0.842465753,246,292,1992,2000,9,NA,NA,NA,NA,NA,4.133333333,5,0,15,0
482,152,M,140,2.592857143,0.263337601,3702,14058,1986,2018,33,1995,1996,1997,2,11,3.388157895,33,61,130,22
67,10,F,17,1.470588235,0.414746544,90,217,1997,2018,22,1997,1997,NA,NA,NA,3.5,4,2,9,1
40,48,M,65,1.753846154,0.337374582,1614,4784,1986,2016,31,1988,1988,1992,4,6,3.375,6,16,47,1
641,21,F,20,1.25,0.428571429,150,350,1988,2015,28,1989,1995,1997,8,9,2.19047619,2,8,13,8
443,15,M,12,5.583333333,0.771428571,324,420,1996,2010,15,1997,2009,2010,13,14,5.466666667,4,3,15,0
618,74,M,178,1.949438202,0.310554188,9207,29647,1995,2018,24,2009,2010,2010,1,15,5.689189189,20,15,74,0
175,73,F,79,2.379746835,0.431960731,3168,7334,1985,2015,31,1994,1995,1995,1,10,3.575342466,14,27,67,6
588,22,F,54,1.611111111,0.38080895,885,2324,2000,2017,18,2000,2008,2013,13,13,4.954545455,5,5,22,0
825,139,M,137,3.01459854,0.204727327,2763,13496,1992,2018,27,1992,1993,1993,1,1,3.971223022,13,45,136,3
744,17,M,14,1.142857143,0.302521008,36,119,1982,2007,26,1985,1987,1991,6,9,1.941176471,2,8,11,6
544,64,M,84,2.726190476,0.334667527,2592,7745,1992,2018,27,2005,2005,2006,1,14,4.578125,14,25,63,1
117,46,F,69,1.768115942,0.236086176,789,3342,1991,2018,28,1991,2008,2010,19,19,3.652173913,9,12,44,2
617,26,M,14,3.5,0.530232558,114,215,1989,2013,25,1989,2005,2005,16,16,2.884615385,16,3,25,1
781,69,M,80,2.1625,0.467357673,3021,6464,1989,2017,29,1998,1999,1999,1,10,3.507246377,13,38,63,6
88,5,F,6,1.666666667,0.75,33,44,2000,2007,8,NA,NA,NA,NA,NA,3,3,0,5,0
122,6,F,19,1.578947368,0.670261941,435,649,1995,1998,4,1997,1997,NA,NA,NA,6,0,2,6,0
15,102,M,117,4.367521368,0.368403548,9969,27060,1987,2018,32,2004,2005,2009,5,22,6.009803922,14,5,101,1
308,62,M,89,1.584269663,0.296891192,1719,5790,1981,2017,37,1985,1988,1991,6,10,3.274193548,10,28,54,8
515,63,M,88,2.363636364,0.268649359,1635,6086,1993,2018,26,1996,1996,1999,3,6,4.317460317,9,33,63,0
534,83,F,150,2.58,0.468262029,14754,31508,1994,2018,25,1994,1997,2002,8,8,5.662650602,15,36,79,4
306,92,M,112,2.276785714,0.244163632,2280,9338,1999,2018,20,2000,2000,2002,2,3,3.77173913,9,55,86,6
61,21,F,31,1.870967742,0.615455382,669,1087,1981,2009,29,1981,1984,1992,11,11,3.761904762,8,3,21,0
114,170,M,211,2.033175355,0.177712039,4926,27719,1980,2018,39,1986,1987,1988,2,8,3.523529412,38,81,156,14
89,11,F,28,1.107142857,0.412891986,237,574,1994,2017,24,2012,NA,NA,NA,NA,3.818181818,6,1,11,0
537,6,F,5,2.2,0.714285714,15,21,1992,1998,7,1993,1994,1995,2,3,2.833333333,1,4,6,0
159,9,M,7,1,0.46875,15,32,1982,2017,36,1984,1988,NA,NA,NA,1.777777778,2,2,4,5
412,50,M,96,1.583333333,0.569638695,5865,10296,1986,2017,32,1986,1992,1992,6,6,4.04,6,21,45,5
