author.name,no.of.papers,Gender,indegree,strength.mean,clusteringcoefficient.global,triangles,demoninator,first.year,last.year,n.years,first.lastauthor,second.lastauthor,third.lastauthor,gap,Time.to.PI,mean.nAU,firstauthor.papers,lastauthor.papers,allmultipleauthor.papers,singleauthor.papers
914,71,M,132,1.863636364,0.268110878,3453,12879,1993,2018,26,1995,2001,2001,6,8,4.464788732,11,28,71,0
741,8,F,11,1.636363636,0.496062992,63,127,1996,2004,9,NA,NA,NA,NA,NA,3.25,5,0,8,0
253,8,M,5,2.2,0.428571429,6,14,1984,1997,14,1992,1994,NA,NA,NA,2.375,4,2,7,1
541,7,M,16,1.25,0.7425,297,400,2000,2016,17,2007,NA,NA,NA,NA,3.857142857,4,1,7,0
310,5,F,3,1,0.6,3,5,1994,2001,8,NA,NA,NA,NA,NA,1.6,2,0,2,3
762,6,F,10,1.9,0.533333333,72,135,2000,2008,9,2000,2002,2002,2,2,4.166666667,0,3,6,0
802,160,M,143,2.06993007,0.366523807,6243,17033,1986,2019,34,1989,1992,1994,5,8,2.85,30,71,126,34
304,56,M,88,1.659090909,0.202279753,1047,5176,1987,2018,32,1997,1999,2002,5,15,3.607142857,9,24,51,5
399,7,F,12,1.25,0.755639098,201,266,1983,1998,16,NA,NA,NA,NA,NA,3.142857143,2,0,4,3
179,87,M,189,1.989417989,0.339403298,11649,34322,1982,2018,37,1982,1987,1990,8,8,5.32183908,21,21,86,1
644,3,F,5,1.2,0.882352941,30,34,1996,2016,21,1996,NA,NA,NA,NA,3,1,1,3,0
353,88,M,158,1.734177215,0.214106396,3582,16730,1990,2018,29,1995,2000,2000,5,10,4.113636364,9,30,79,9
468,115,M,125,2.736,0.326538288,4341,13294,1988,2018,31,1989,1992,1992,3,4,3.973913043,21,54,107,8
769,11,M,20,1.35,0.427184466,132,309,1998,2012,15,1999,NA,NA,NA,NA,3.454545455,4,1,11,0
192,8,F,15,1.733333333,0.628272251,240,382,1998,2017,20,NA,NA,NA,NA,NA,4.25,3,0,8,0
637,12,M,42,1.619047619,0.522188217,1365,2614,2009,2018,10,2017,2018,NA,NA,NA,6.666666667,0,2,11,1
157,38,M,65,1.876923077,0.26810604,981,3659,1990,2018,29,2009,2009,2011,2,21,4.210526316,13,8,36,2
101,222,M,305,2.6,0.217096746,15093,69522,1990,2018,29,1990,1995,1998,8,8,4.572072072,20,127,218,4
616,57,F,80,1.875,0.279949559,1332,4758,1985,2018,34,1999,1999,2000,1,15,3.631578947,2,28,50,7
100,53,M,37,2.081081081,0.346901018,375,1081,1985,2018,34,1998,2003,2005,7,20,2.452830189,18,20,43,10
171,7,M,5,2.4,0.529411765,9,17,1994,2015,22,1994,1997,1999,5,5,2.714285714,0,5,7,0
503,87,M,149,2.10738255,0.363573917,7410,20381,1996,2018,23,2002,2004,2006,4,10,4.609195402,15,31,83,4
292,230,M,251,3.517928287,0.267761818,20766,77554,1982,2018,37,1987,1992,1993,6,11,4.839130435,48,81,220,10
426,6,F,4,3.25,0.789473684,15,19,1993,1997,5,1997,1997,NA,NA,NA,3.166666667,2,2,6,0
809,13,M,38,1.5,0.619146722,1785,2883,1989,2018,30,NA,NA,NA,NA,NA,5.384615385,4,0,9,4
146,222,M,272,2.816176471,0.257215395,14589,56719,1992,2018,27,1995,1995,1995,0,3,4.45045045,14,133,212,10
396,7,M,5,1.6,0.652173913,15,23,1985,1997,13,1985,1994,1996,11,11,2.142857143,1,3,5,2
451,107,F,93,2.64516129,0.371126504,3054,8229,1987,2018,32,1988,1992,1996,8,9,3.299065421,19,56,99,8
528,61,F,69,2.057971014,0.349093775,1329,3807,1987,2018,32,2004,2005,2005,1,18,3.327868852,15,31,57,4
818,55,F,94,1.936170213,0.429318155,3696,8609,1995,2018,24,1998,2004,2009,11,14,4.309090909,12,20,54,1
721,74,M,182,2.071428571,0.309002715,13314,43087,1990,2018,29,1993,1993,1998,5,8,6.094594595,11,22,73,1
676,53,M,72,2.430555556,0.259196515,1071,4132,1999,2018,20,2005,2006,2008,3,9,4.301886792,15,18,53,0
891,9,F,5,2,0.25,3,12,1982,1999,18,1984,1986,1999,15,17,2.111111111,3,3,7,2
875,16,F,17,1.411764706,0.204968944,33,161,1996,2017,22,2004,2004,2005,1,9,2.5,8,8,16,0
377,33,F,31,1.161290323,0.307570978,195,634,1982,2008,27,1984,1987,1991,7,9,2.121212121,13,11,24,9
123,46,M,86,2.034883721,0.523030429,5019,9596,1999,2018,20,2009,2009,2010,1,11,4.804347826,4,20,41,5
50,66,M,150,1.66,0.368887482,6993,18957,1992,2018,27,1992,2004,2008,16,16,4.772727273,18,15,65,1
474,99,M,115,1.852173913,0.195598736,1671,8543,1982,2018,37,1988,1992,1993,5,11,3.151515152,12,50,84,15
789,60,F,106,1.443396226,0.44979448,4596,10218,1992,2018,27,2002,2002,2004,2,12,3.55,7,35,55,5
222,18,F,20,1.7,0.316981132,84,265,1982,2006,25,1982,1984,1987,5,5,2.888888889,9,5,18,0
234,28,M,27,1.259259259,0.292207792,135,462,1990,2018,29,1995,2005,2006,11,16,2.214285714,3,15,21,7
320,25,F,29,1.413793103,0.62007874,630,1016,1985,2018,34,NA,NA,NA,NA,NA,2.64,10,0,15,10
346,4,M,2,1,0,0,NA,1982,2004,23,1997,NA,NA,NA,NA,1.5,1,1,2,2
797,8,M,20,1.45,0.800884956,543,678,1998,2007,10,NA,NA,NA,NA,NA,4.625,6,0,8,0
859,12,F,17,1.588235294,0.43373494,108,249,1991,2000,10,1991,2000,NA,NA,NA,3.25,6,2,12,0
261,10,F,14,1.5,0.478021978,87,182,1981,2010,30,1981,1990,1990,9,9,3.1,2,3,10,0
13,3,M,18,1,0.779874214,372,477,1988,2017,30,NA,NA,NA,NA,NA,7,0,0,3,0
280,20,F,82,1.62195122,0.471566923,3798,8054,1994,2018,25,NA,NA,NA,NA,NA,7.65,4,0,20,0
166,9,M,4,2,0.545454545,6,11,1998,2001,4,2000,NA,NA,NA,NA,1.888888889,5,1,6,3
441,10,M,7,2.285714286,0.904761905,114,126,1984,2010,27,1994,2010,NA,NA,NA,2.6,2,2,6,4
71,61,F,88,2.386363636,0.257412622,1554,6037,1999,2018,20,2002,2002,2008,6,9,4.426229508,11,15,61,0
770,50,M,61,1.344262295,0.566630316,2598,4585,1983,2017,35,1985,1985,2000,15,17,2.64,7,18,34,16
933,7,F,9,1.555555556,0.715909091,63,88,1989,1997,9,1989,NA,NA,NA,NA,3,1,1,5,2
673,6,F,9,1.777777778,0.661417323,84,127,1996,2003,8,2003,NA,NA,NA,NA,3.666666667,3,1,6,0
59,37,F,37,2.810810811,0.389200561,555,1426,1992,2017,26,1995,1999,2005,10,13,3.810810811,13,11,34,3
645,67,F,55,2.618181818,0.312424608,777,2487,1994,2018,25,1996,1997,1998,2,4,3.149253731,13,28,59,8
871,3,F,4,1.25,1,30,30,1991,1995,5,1994,NA,NA,NA,NA,2.666666667,0,1,2,1
591,69,F,58,2.465517241,0.272253582,627,2303,1982,2018,37,1993,1995,1997,4,15,3.072463768,17,22,55,14
638,12,F,20,1.8,0.789256198,573,726,1990,2017,28,1990,1993,1997,7,7,4,6,4,12,0
233,47,F,74,1.5,0.176901925,579,3273,1993,2018,26,2000,2003,2003,3,10,3.361702128,2,26,41,6
301,84,M,149,2.295302013,0.236043629,4761,20170,1985,2018,34,1995,1999,2001,6,16,5.071428571,17,8,83,1
815,3,F,4,2.25,1,30,30,1999,2000,2,NA,NA,NA,NA,NA,4,0,0,3,0
700,242,M,463,1.98488121,0.164334795,23127,140731,1983,2018,36,1986,1987,1992,6,9,4.797520661,24,126,228,14
930,6,F,5,2.6,0.846153846,33,39,1996,2004,9,1998,NA,NA,NA,NA,3.166666667,3,1,6,0
606,62,F,76,1.947368421,0.180529553,675,3739,1990,2012,23,1991,1995,2001,10,11,3.387096774,15,25,61,1
704,45,F,88,2.954545455,0.568776803,8886,15623,1992,2018,27,1993,1996,1997,4,5,6.777777778,12,10,44,1
444,94,M,143,1.79020979,0.356520781,6468,18142,1992,2018,27,1998,2009,2011,13,19,3.723404255,24,40,85,9
162,13,F,22,1.954545455,0.689361702,486,705,1994,2017,24,1994,NA,NA,NA,NA,4.307692308,6,1,13,0
651,23,F,41,1.390243902,0.280498664,315,1123,1994,2016,23,1999,2016,NA,NA,NA,3.47826087,10,2,21,2
479,17,F,15,1.8,0.382550336,57,149,1997,2014,18,1997,2003,2014,17,17,2.588235294,10,3,16,1
177,3,F,7,1.142857143,0.6,27,45,1990,1995,6,1995,NA,NA,NA,NA,3.666666667,0,1,3,0
44,57,F,38,2.447368421,0.22616408,204,902,1995,2018,24,1996,2005,2005,9,10,2.631578947,13,33,54,3
275,76,F,111,2.027027027,0.252880184,2634,10416,1997,2018,22,1998,2006,2007,9,10,3.960526316,17,28,76,0
507,6,M,7,1.857142857,0.652173913,45,69,1999,2002,4,2002,NA,NA,NA,NA,3.166666667,2,1,5,1
372,19,M,26,1.961538462,0.417582418,228,546,1993,2015,23,1993,1995,1997,4,4,3.684210526,3,11,19,0
805,36,F,47,2.021276596,0.466004184,891,1912,1985,2018,34,1987,1988,1988,1,3,3.638888889,10,16,33,3
148,10,F,10,2,0.564705882,48,85,1993,2018,26,NA,NA,NA,NA,NA,3,10,0,10,0
184,7,M,6,2.166666667,0.66,33,50,1995,2008,14,2002,2008,NA,NA,NA,2.857142857,2,2,6,1
163,106,M,128,2.140625,0.237656976,2763,11626,1992,2018,27,1993,1998,1998,5,6,3.58490566,27,52,91,15
57,25,M,34,1.294117647,0.255845942,186,727,1989,2007,19,1989,1993,1994,5,5,2.76,5,5,18,7
826,109,M,173,1.878612717,0.250115911,5934,23725,1987,2018,32,1999,2000,2000,1,13,3.981651376,32,35,97,12
331,49,F,132,2.083333333,0.430048633,9108,21179,1998,2018,21,2009,2009,2010,1,12,6.612244898,10,7,48,1
260,49,M,113,1.796460177,0.436883943,5496,12580,1990,2018,29,1996,2001,2002,6,12,5.142857143,11,21,49,0
282,286,M,458,1.68558952,0.126105652,15426,122326,1992,2018,27,1997,1998,2000,3,8,3.702797203,66,129,263,23
456,15,F,8,2.875,0.444444444,24,54,1983,2008,26,1996,1998,2000,4,17,2.533333333,1,10,13,2
105,116,M,132,2.318181818,0.203669725,2775,13625,1989,2018,30,1993,1994,1994,1,5,3.637931034,19,76,112,4
566,19,F,21,1.523809524,0.276450512,81,293,1993,2016,24,1996,1999,2001,5,8,2.684210526,6,3,16,3
439,87,M,158,1.664556962,0.204074526,3516,17229,1990,2018,29,1996,1999,1999,3,9,4.022988506,11,43,81,6
58,56,M,60,1.633333333,0.193330329,429,2219,1981,2016,36,1987,1988,1990,3,9,2.75,0,35,49,7
772,27,M,47,1.893617021,0.590041494,1422,2410,1996,2008,13,1996,1998,1999,3,3,4.296296296,17,4,27,0
170,42,M,54,2.12962963,0.446224256,1560,3496,1994,2017,24,1998,1999,1999,1,5,3.738095238,4,16,35,7
424,79,F,54,2.037037037,0.41997544,1026,2443,1984,2017,34,1991,1992,1993,2,9,2.392405063,13,48,69,10
844,4,F,4,1.25,0.375,3,8,1982,1997,16,1994,1996,1997,3,15,2.25,1,3,4,0
506,50,F,91,1.758241758,0.620808982,8073,13004,1993,2018,26,2007,2012,2012,5,19,4.2,23,9,44,6
9,22,M,54,2.537037037,0.528746466,2244,4244,1992,2018,27,1992,2017,NA,NA,NA,7.227272727,0,2,22,0
509,120,F,94,1.872340426,0.174489232,948,5433,1983,2018,36,1992,1996,1997,5,14,2.466666667,15,66,87,33
173,20,F,68,1.382352941,0.514554974,2457,4775,1992,2017,26,1992,1992,1995,3,3,5.65,4,4,19,1
296,46,M,72,1.458333333,0.437619962,2052,4689,1996,2018,23,2000,2001,2004,4,8,3.282608696,14,15,40,6
549,4,M,8,1.375,0.692307692,45,65,1996,2001,6,2001,NA,NA,NA,NA,3.75,2,1,4,0
221,176,M,272,2.430147059,0.177718833,9648,54288,1985,2018,34,1985,1991,1992,7,7,4.755681818,17,53,174,2
614,4,F,4,1.25,0.6,6,10,1994,1998,5,1995,NA,NA,NA,NA,2.25,1,1,3,1
302,151,M,197,2.289340102,0.188335726,4986,26474,1993,2018,26,1993,2000,2002,9,9,3.986754967,30,63,136,15
690,8,M,6,1.166666667,0.176470588,3,17,1991,2004,14,1994,NA,NA,NA,NA,1.875,5,1,6,2
135,66,M,97,1.762886598,0.330592105,2412,7296,1991,2018,28,1999,2003,2003,4,12,3.590909091,16,17,61,5
366,99,M,170,1.452941176,0.259098566,5076,19591,1981,2018,38,1989,1989,1997,8,16,3.505050505,12,46,87,12
522,76,M,103,1.660194175,0.526358696,5811,11040,1993,2018,26,1993,1997,1998,5,5,3.25,21,30,69,7
433,7,M,24,1.208333333,0.934338953,2106,2254,1991,2018,28,1991,1992,1994,3,3,5.142857143,1,4,7,0
375,145,M,241,1.98340249,0.198943179,8697,43716,1981,2018,38,1982,1983,1983,1,2,4.296551724,15,102,143,2
133,100,M,167,2.05988024,0.387089399,10158,26242,1982,2018,37,1982,1994,1997,15,15,4.44,14,38,99,1
830,46,M,70,1.657142857,0.368657505,1395,3784,1989,2018,30,1993,1993,1995,2,6,3.52173913,9,13,38,8
887,4,F,10,1.1,0.936802974,252,269,1992,2006,15,1992,1994,NA,NA,NA,3.75,1,2,4,0
598,55,M,120,2.183333333,0.335037175,4326,12912,1990,2018,29,1990,1994,1995,5,5,5.763636364,14,12,55,0
777,10,M,13,1.384615385,0.678947368,129,190,1991,2014,24,1992,2003,2014,22,23,2.8,4,3,9,1
239,25,F,26,1.846153846,0.373517787,189,506,1992,2017,26,1995,1995,1999,4,7,2.92,10,6,24,1
502,8,M,11,1.727272727,0.455357143,51,112,1983,1997,15,1983,1985,1993,10,10,3.375,1,5,8,0
705,45,M,38,1.815789474,0.201176471,171,850,1985,2011,27,1990,1995,1995,5,10,2.555555556,5,18,35,10
341,98,M,143,1.748251748,0.327954589,5142,15679,1986,2018,33,1990,1990,1991,1,5,3.551020408,20,28,89,9
880,100,M,169,2.136094675,0.280234986,5772,20597,1987,2018,32,1994,1997,2001,7,14,4.61,13,45,92,8
745,20,M,31,1.774193548,0.397826087,366,920,1998,2011,14,1998,2003,2004,6,6,3.9,4,5,19,1
5,170,M,180,2.827777778,0.196977343,7416,37649,1983,2018,36,1991,1992,1993,2,10,3.994117647,17,55,145,25
305,98,M,113,3.053097345,0.209098009,2142,10244,1999,2018,20,2001,2004,2005,4,6,4.520408163,12,48,98,0
79,6,F,8,2.125,0.683168317,69,101,1997,2002,6,2002,NA,NA,NA,NA,3.833333333,3,1,6,0
666,11,M,14,2.714285714,0.591973244,177,299,1994,2007,14,1999,2002,NA,NA,NA,4.454545455,0,2,11,0
232,30,M,32,1.6875,0.340028694,237,697,1990,2018,29,1993,1997,1999,6,9,2.833333333,13,7,25,5
793,12,F,12,2.25,0.495,99,200,2000,2018,19,NA,NA,NA,NA,NA,3.25,10,0,12,0
224,30,M,88,1.477272727,0.344375963,2235,6490,1996,2018,23,2001,2007,2008,7,12,5.333333333,11,6,30,0
732,54,M,101,1.336633663,0.473200127,4476,9459,1998,2018,21,2002,2012,2013,11,15,3.5,21,8,43,11
738,76,M,190,1.531578947,0.283915117,7800,27473,1988,2018,31,2004,2006,2006,2,18,4.828947368,14,28,70,6
516,86,M,113,1.610619469,0.233716026,1995,8536,1987,2018,32,1988,1988,1994,6,7,3.127906977,23,33,73,13
719,109,M,260,1.642307692,0.242472767,11508,47461,1983,2018,36,1983,1985,1986,3,3,4.917431193,12,41,103,6
756,24,M,23,1.956521739,0.247159091,87,352,1994,2016,23,1994,1995,1995,1,1,2.875,6,6,22,2
203,165,M,336,1.794642857,0.150178987,10572,70396,1986,2016,31,1992,1992,1992,0,6,4.654545455,4,73,165,0
519,75,F,100,2.41,0.320097527,2757,8613,1987,2018,32,1993,1994,1996,3,9,4.213333333,17,16,68,7
378,78,F,120,2.1,0.291951014,3123,10697,1998,2018,21,2000,2001,2001,1,3,4.230769231,19,16,75,3
284,18,F,32,2.0625,0.546212648,786,1439,1994,2017,24,2006,2007,2008,2,14,4.666666667,5,8,17,1
107,148,M,295,2.013559322,0.211883354,13173,62171,1987,2018,32,1994,1996,1996,2,9,5.013513514,23,55,139,9
752,21,M,33,2.090909091,0.442246331,693,1567,2004,2017,14,2004,2008,2011,7,7,4.285714286,6,3,20,1
846,45,F,37,3.027027027,0.32859175,462,1406,1989,2016,28,1989,1991,1998,9,9,3.488888889,5,14,41,4
567,30,M,37,1.351351351,0.263919822,237,898,1985,2017,33,1994,1994,1996,2,11,2.666666667,7,13,25,5
235,53,F,105,2.114285714,0.341073583,3393,9948,1993,2017,25,1995,1996,2000,5,7,5.188679245,13,6,53,0
486,31,M,66,1.772727273,0.502036067,2589,5157,1996,2017,22,1999,2000,2000,1,4,4.774193548,3,7,31,0
500,133,F,155,2.84516129,0.202509332,3906,19288,1982,2018,37,1982,1983,1989,7,7,4.315789474,9,81,131,2
858,3,M,4,1,0.8,12,15,1997,2005,9,NA,NA,NA,NA,NA,2.333333333,2,0,2,1
124,246,M,237,2.860759494,0.256415535,11211,43722,1984,2018,35,1991,1992,1993,2,9,3.756097561,32,113,218,28
409,67,F,92,2.923913043,0.273871062,2808,10253,1995,2018,24,2004,2004,2012,8,17,5.014925373,8,3,66,1
548,3,F,3,1.666666667,1,12,12,2000,2004,5,NA,NA,NA,NA,NA,2.666666667,2,0,3,0
547,107,M,208,1.778846154,0.279612201,8883,31769,1990,2017,28,1992,1993,1993,1,3,4.429906542,15,39,106,1
583,53,M,144,1.590277778,0.212125515,2988,14086,2003,2018,16,2005,2005,2005,0,2,5.320754717,2,19,53,0
300,4,M,2,2.5,1,3,3,1996,2003,8,2000,2003,NA,NA,NA,2.25,1,2,3,1
487,41,F,58,2.413793103,0.297040971,783,2636,1998,2018,21,2004,2006,2007,3,9,4.414634146,7,17,41,0
4,3,F,5,1.8,1,60,60,1997,2002,6,NA,NA,NA,NA,NA,4,0,0,2,1
52,12,M,31,1.322580645,0.923749007,3489,3777,1986,2016,31,1987,1996,NA,NA,NA,4.416666667,5,2,11,1
597,100,M,182,2.714285714,0.349801574,10401,29734,1987,2018,32,1987,2004,2005,18,18,5.95,6,27,100,0
448,18,F,130,1.176923077,0.510285375,8583,16820,1997,2017,21,1997,NA,NA,NA,NA,9.5,2,1,18,0
808,15,F,27,1.62962963,0.401538462,261,650,1992,2018,27,1996,2010,2011,15,19,3.933333333,7,3,15,0
227,5,F,9,1.222222222,0.658536585,54,82,1997,2010,14,NA,NA,NA,NA,NA,3.2,2,0,4,1
198,172,F,218,3.275229358,0.249117033,12414,49832,1982,2018,37,1987,1989,1989,2,7,5.151162791,20,86,169,3
391,55,M,79,1.746835443,0.270625567,1194,4412,1983,2018,36,1984,1985,1985,1,2,3.509090909,15,21,52,3
18,43,F,58,2.155172414,0.26803014,747,2787,1996,2018,23,2007,2008,2009,2,13,3.906976744,9,17,43,0
609,88,M,153,2.588235294,0.337040858,7515,22297,1993,2018,26,1996,1997,1998,2,5,5.5,16,16,88,0
816,69,F,100,2.13,0.27122807,2319,8550,1997,2018,22,2002,2002,2002,0,5,4.086956522,8,43,66,3
351,68,M,83,2.421686747,0.27504685,1908,6937,1995,2017,23,2003,2005,2005,2,10,3.955882353,17,32,66,2
695,110,M,123,2.390243902,0.402646911,5598,13903,1993,2018,26,1993,1993,1996,3,3,3.672727273,27,51,102,8
19,33,F,65,1.876923077,0.38515343,1707,4432,1987,2018,32,2004,2007,2007,3,20,4.696969697,8,12,32,1
740,62,M,99,2.161616162,0.380840204,5820,15282,1984,2017,34,1989,1989,1992,3,8,4.451612903,10,9,58,4
589,63,M,66,2.772727273,0.315343099,1227,3891,1997,2018,22,1998,1998,2000,2,3,3.952380952,26,13,61,2
879,135,M,147,2.56462585,0.152725699,2118,13868,1988,2018,31,1990,1990,1991,1,3,3.792592593,22,72,132,3
98,14,F,12,2.416666667,0.545454545,108,198,1992,2000,9,1992,1993,1994,2,2,3.071428571,0,9,14,0
252,126,M,212,2.089622642,0.216783217,7998,36894,1980,2018,39,1988,1989,1989,1,9,4.515873016,6,58,119,7
417,76,M,51,2.098039216,0.169950739,276,1624,1981,2017,37,1982,1989,1992,10,11,2.407894737,28,16,55,21
709,31,F,41,2.048780488,0.454385965,777,1710,1988,2007,20,1988,1990,1990,2,2,3.709677419,9,8,30,1
542,57,F,123,1.577235772,0.332627617,4242,12753,1995,2018,24,1995,1998,2002,7,7,4.403508772,22,8,52,5
626,139,M,94,3.265957447,0.308779443,2163,7005,1980,2013,34,1980,1984,1986,6,6,3.208633094,14,99,134,5
16,145,F,450,1.833333333,0.22570293,33618,148948,1989,2018,30,1989,1998,2000,11,11,6.689655172,18,37,138,7
841,68,M,199,1.67839196,0.34226613,11814,34517,1998,2018,21,2005,2006,2010,5,12,5.911764706,19,10,65,3
